id	deck	name	year	type	subtype1	subtype2	attack_strength	defense_strength	morale_add	morale_lose	strength_add	strength_lose	defense_add	defense_lose	ability_type	usage_type	frequency	when_to_play	abilities
AU4091	9	Miguel de Cervantes	1547-1616	character	author		100	200	300								1	I	Cervantes inspires your citizens to dream and tilt at their own windmills, you gain 300 Morale points.
CO4091	9	Suleiman the Magnificent	1494-1566	character	conqueror		1200	800									1	I	All Christian Spiritual Leaders lose their Land 300 strength points and 100 Morale when combatting Suleiman.
DO4091	9	Morte d'Arthur	1485	document					300								1	I	The romanticism of Chivalry fourishes in your civilization, gain 300 Morale points.
EN4091	9	Dissolution of the Monasteries	1536-1541	event													1	I	At Henry's demand, all Spritual Leaders in play must be discarded and each discaded card causes its owner to 200 Morale.
EN4092	9	Sack of Rome (1527)	1527	event						300					INTERRUPT		1	I	INTERRUPT: One opponent is forced to discard one knowledge or technology card and they lose 300 Morale.
EN4093	9	Protestant Reformation	1517-1648	event											INTERRUPT		1	I	INTERRUPT: Nullify the effects of any Catholic Character card.
EN4094	9	Spanish Inquisition	1478-1834	event							500		500		CHOICE		OO	C	CHOOSE: ONCE: Either gain 500 strength when facing a land with a Muslim character or gain 500 defense when defending Spain.
EN4095	9	Battle of Lepanto	October 7, 1571	event											INTERRUPT		1	I	INTERRUPT:  Send all Islamic cards to the discard pile prior to a declared battle; the battle must be fought with out them.
LE4091	9	Mary I of England	1516-1558	character	leader		500	500									OO	C	Mary gains an additional 500 strength points if she resides in the UK.
LO4091	9	The Globe Theater		location													1	I	ONCE: You may enjoy duplicate positive effects of all opponents' Events and Entertainer cards for one turn.
RE4901	9	Gutenberg Bible	1440-1453	relic													OO	C	Double the effect of any Christian Character card.
SC4091	9	Paracelsus	1493-1541	character	scientist		40	20		200					CHOICE		1	I	CHOOSE: INTERRUPT: Discard all Scientists; each player lose 200 Morale for each discarded card OR double all scientists' effects.
SC4092	9	Johannes Kepler	1571-1630	character	scientist		20	20	300	300					CHOICE		1	I	CHOOSE: Gain 300 Morale for inspiring your people OR force one opponent to lose 300 Morale because you disproved them.
SC4093	9	Francis Bacon	1561-1626	character	scientist		20	20	300		500				CHOICE		1	I	CHOOSE: Gain 500 strength for technological advancements OR gain 300 Morale for improving people's quality of life.
SC4094	9	Nicolaus Copernicus	1473-1543	character	scientist		40	20							CHOICE		1	I	CHOOSE: INTERRUPT: Cancel the effects of any opponent's Scientist OR double the effects of any one of your scientists.
SP4091	9	Ignatius Loyola	1491-1556	character	spiritual_leader		100	200					500		CHOICE		OO	C	CHOOSE: ONCE: Gain an additional 500 strength if Ignatius is in Israel OR gain 500 defense if in the same land as a Pope.
SP4092	9	Thomas More	1478-1535	character	spiritual_leader		80	60							CHOICE		1	I	CHOOSE: Thomas More gains 200 Morale points for every Catholic character he resided with OR just 200 Morale.
TE4091	9	Invention of the Microscope		technology													OO	C	ONCE: Magnify the effects of any scientist by 2 times.
TE4092	9	Invention of the Arquebus		technology													OO	C	The arquebus increases your strength by 400 points
TE4093	9	Invention of the Mariner's Astrolabe		technology													OO	C	The mariner's astrolabe enables you to double the effect of any of your sea explorers.
BU4081	8	Cornelius Vanderbilt	1794-1877	character	businessman		60	60							CHOICE		OO	C	CHOOSE: Once per turn, transport one card to another country connected by land or offer service to opponent in exchange for 300 Morale.
BU4082	8	Samuel Spencer	1847-1906	character	businessman		40	60	300						CHOICE		1	I	CHOOSE: Gain 300 Morale or double the effect of any businessman in your battlefield.
BU4083	8	Leland Stanford	1824-1893	character	businessman		60	60									1	I	Search through your deck and find one document you can play immediately.
BU4084	8	Tom Scott	1823-1881	character	businessman		200	300									OO	C	Tom Scott increases the strength of any Army residing in the same land as Scott by 500 points.
BU4085	8	Erastus Corning	1847-1906	character	businessman		60	40							CHOICE		1	I	CHOOSE: Increase Morale by 300 points or double the effects of one Politician.
