id	deck	name	nationality	ethnicity	religion	gender
ARRR401	1	Celtic Tribes	British	Celtic	Paganism	female/male
CORR401	1	Caesar Augustus	Roman	European, Caucasian	Roman	male
CORR402	1	Marcus Lepiduss	Roman	European, Caucasian	Roman	male
MLRR401	1	Fabius Maximus	Roman	European, Caucasian	Roman	male
PIRR401	1	Cilician Pirates	Mediterranean	European	Roman	male
POE001	1	Gnaeus Pompeius Magnus	Roman	European, Caucasian	Roman	male
WAE002	1	Roman Centurion	Roman	European, Caucasian	Roman	male
WAE003	1	Sparticus	Roman	European, Caucasian	Roman	male
ARRW401	2	Patriot Militia	American	American, Caucasian		male
ARRW402	2	British Regulars	British	European, Caucasian		male
ARRW403	2	Minute Men	American	American, Caucasian		male
LERW401	2	Captain Parker	American	American, Caucasian	Christian	male
LERW402	2	Dr. Joseph Warren	American	American, Caucasian	Christian	male
LERW403	2	Lieutenant Colonel Francis Smith	British	European, Caucasian	Christian	male
LERW404	2	Brigadier General Hugh Percy.	British	European, Caucasian	Christian	male
LERW405	2	James Barrett	American	American, Caucasian	Christian	male
LERW406	2	King George	British	European, Caucasian	Christian	male
LERW407	2	Major John Pitcairn 	British	European, Caucasian	Christian	male
LERW408	2	Lieutenant General Thomas Gage	British	European, Caucasian	Christian	male
SYRW401	2	Margaret Kemble Gage	British	European, Caucasian	Christian	female
WARW401	2	Robert Newman and Captain John Pulling	American	American, Caucasian	Christian	male
ARW2401	3	442nd Regimental Combat Team	American	American, Asian		male
ARW2402	3	Armia Krajowa or Home Army	Polish	European, Caucasian		male
ARW2403	3	German-Italian Troop Offensive (Pact of Steel)	German/Italian	European, Caucasian		male
ARW2404	3	British SAS	British	European, Caucasian		male
LEW2401	3	Dwight Eisenhower	American	American, Caucasian	Christian	male
LEW2402	3	General George S. Patton	American	American, Caucasian	Christian	male
LEW2403	3	Major General John P. Lucas 	American	American, Caucasian	Christian	male
LEW2404	3	William Knudsen	American	American, Caucasian	Christian	male
MAW2401	3	Poland's Enigma codebreakers	Polish	European, Caucasian		male
MUW2401	3	Billy Millin	Scottish	European, Caucasian	Christian	male
WAW2401	3	Sniper Vasily Zaytsev	Russian	Asian, Caucasian	Christian	male
ARCW401	4	Army of the Confederate States	American	American		male
ARCW402	4	Union Army	American	American		male
LECW401	4	Brig. Gen. P. G. T. Beauregard	American	American, Caucasian	Christian	male
LECW402	4	David E. Twiggs	American	American, Caucasian	Christian	male
LECW403	4	Jefferson Davis	American	American, Caucasian	Christian	male
LECW404	4	Maj. Robert Anderson	American	American, Caucasian	Christian	male
LECW405	4	President James Buchanan 	American	American, Caucasian	Christian	male
ARWW401	5	The Cowboys	American	American		male
ARWW402	5	US Marshalls	American	American		male
LAWW401	5	Doc Holliday	American	American, Caucasian	Christian	male
LAWW402	5	Wyatt Earp 	American	American, Caucasian	Christian	male
LAWW403	5	Bat Masterson 	American	American, Caucasian	Christian	male
LAWW404	5	Virgil Earp	American	American, Caucasian	Christian	male
LEWW401	5	Captain Joseph H. Hurst	American	American, Caucasian	Christian	male
OUWW401	5	Mary Katherine Horony Cummings	Hungarian	American, Caucasian		female
OUWW402	5	Johnny Ringo 	American	American, Caucasian	Christian	male
OUWW403	5	William Brocius	American	American, Caucasian	Christian	male
OUWW404	5	Ike Clanton	American	American, Caucasian	Christian	male
OUWW405	5	Frank and Tom McLaury	American	American, Caucasian	Christian	male
ASW1401	6	Gavrilo Princip	Bosnian	European, Caucasian		male
LEW1401	6	Kaiser Wilhelm II	German	European, Caucasian	Christian	male
LEW1402	6	John J. Pershing	American	European, Caucasian	Christian	male
LEW1403	6	Mustafa Kemal Atatürk	Greek, Turkey	Arab	Muslim	male
LEW1404	6	Gen. William Mitchell	French, American	American, Caucasian	Christian	male
WAW1401	6	Eddie Rickenbacker	American	American, Caucasian	Christian	male
WAW1402	6	Manfred von Richthofen	Polish, German	European, Caucasian	Christian	male
WAW1403	6	Billy Bishop	American	American, Caucasian	Christian	male
WAW1404	6	Frederick Libby	American	American, Caucasian	Christian	male
WAW1405	6	Douglas Campbell	American	American, Caucasian	Christian	male
710000	7	Peter the Hermit	French	European, Caucasian	Christian, Catholic	male
710001	7	Pope Urban II	French	European, Caucasian	Christian, Catholic	male
BU4081	8	Cornelius Vanderbilt	American	American, Caucasian	Christian	male
BU4082	8	Samuel Spencer	American	American, Caucasian	Christian	male
BU4083	8	Leland Stanford	American	American, Caucasian	Christian	male
BU4084	8	Tom Scott	American	American, Caucasian	Christian	male
BU4085	8	Erastus Corning	American	American, Caucasian	Christian	male
BU4086	8	Collis Potter Huntington	American	American, Caucasian	Christian	male
BU4087	8	James J. Hill	Canadian, American	American, Caucasian	Christian	male
BU4088	8	Charles M. Schwab	American	American, Caucasian	Christian, Catholic	male
IN4081	8	Sir Henry Bessemer	British	European, Caucasian	Christian	male
IN4082	8	Henry Ford	American	American, Caucasian	Christian	male
IN4083	8	William Kelly	American	American, Caucasian	Christian	male
IN4084	8	Nikolaus Otto	German	European, Caucasian	Christian	male
IN4085	8	Cyrus McCormick	American	American, Caucasian	Christian	male
IN4086	8	Robert H. Goddard	American	American, Caucasian	Christian	male
IN4087	8	 Francis E. & Freelan O. Stanley	American	American, Caucasian	Christian	male
AU4091	9	Miguel de Cervantes	Spanish	European, Caucasian	Christian, Catholic	male
CO4091	9	Suleiman the Magnificent	Turkish	Arab	Islam, Sunni	male
LE4091	9	Mary I of England	British	European, Caucasian	Christian, Catholic	female
SC4091	9	Paracelsus	Swedish	European, Caucasian	Christian	male
SC4092	9	Johannes Kepler	German	European, Caucasian	Christian	male
SC4093	9	Francis Bacon	British	European, Caucasian	Christian	male
SC4094	9	Nicolaus Copernicus	Polish	European, Caucasian	Christian	male
SP4091	9	Ignatius Loyola	Spain	European, Caucasian	Christian	male
SP4092	9	Thomas More	British	European, Caucasian	Christian, Catholic	male
AC4101	A	Frederick Douglass	American	American, Black	Christian	male
AC4102	A	Susan B. Anthony	American	American, Caucasian	Christian	female
AI4101	A	Leonardo da Vinci	Italian	European, Caucasian	Christian	female
AR4101	A	English Army	British	European		male
AR4102	A	Mongolian Army (Cover)	Mongolian	Asian		male
AR4103	A	Steel Workers	American	American		male
AR4104	A	Viet Minh Guerrillas	Vietnamese	Asian		male
AT4101	A	Jesse Owens	American	American, Black	Christian	male
AU4101	A	C.S. Lewis	American	American	Christian	male
AU4102	A	Homer	Greek	American	Hosmeric	male
BU4101	A	Madam CJ Walker	American	American, Black	Christian	female
CO4101	A	Charlemagne	Frankish	European, Caucasian	Christian, Catholic	male
